1.020100000203009428e-06,1.040400000412079013e-06,1.060900000627269062e-06,1.081600000848638866e-06,1.102500001076248989e-06,1.123600001310158511e-06,1.144900001550427783e-06,1.166400001797117368e-06,1.188100002050287405e-06,1.210000002309997187e-06,1.232100002576307065e-06,1.254400002849276542e-06,1.276900003128965759e-06,1.299600003415435066e-06,1.322500003708745026e-06,1.345600004008954720e-06,1.368900004316124498e-06,1.392400004630314077e-06,1.416100004951583173e-06,1.440000005279992348e-06,1.464100005615602164e-06,1.488400005958471704e-06,1.512900006308661529e-06,1.537600006666230932e-06,1.562500007031239840e-06,1.587600007403749028e-06,1.612900007783818848e-06,1.638400008171508167e-06,1.664100008566877761e-06,1.690000008969986921e-06,1.716100009380895788e-06,1.742400009799664924e-06,1.768900010226354468e-06,1.795600010661023925e-06,1.822500011103733433e-06,1.849600011554542497e-06,1.876900012013511045e-06,1.904400012480700062e-06,1.932100012956169477e-06,1.960000013439978793e-06,1.988100013932188150e-06,2.016400014432857263e-06,2.044900014942045849e-06,2.073600015459814470e-06,2.102500015986223689e-06,2.131600016521332799e-06,2.160900017065201515e-06,2.190400017617890400e-06,2.220100018179458746e-06,2.250000018749967117e-06
2.280145319555123536e-06,2.310764834323303674e-06,2.341894626155207525e-06,2.373540818051114481e-06,2.405709593011307539e-06,2.438407194036072030e-06,2.471639924125701977e-06,2.505414146280488228e-06,2.539736283500733711e-06,2.574612818786741991e-06,2.610050295138820243e-06,2.646055315557284328e-06,2.682634543042447359e-06,2.719794700594633256e-06,2.757542571214166157e-06,2.795884997901378886e-06,2.834828883656605758e-06,2.874381191480187656e-06,2.914548944372466529e-06,2.955339225333791319e-06,2.996759177364519657e-06,3.038816003465008544e-06,3.081516966635619433e-06,3.124869389876723314e-06,3.168880656188692241e-06,3.213558208571903142e-06,3.258909550026743754e-06,3.304942243553596101e-06,3.351663912152857670e-06,3.399082238824924474e-06,3.447204966570202482e-06,3.496039898389097883e-06,3.545594897282028517e-06,3.595877886249409901e-06,3.646896848291668357e-06,3.698659826409234239e-06,3.751174923602539809e-06,3.804450302872028136e-06,3.858494187218143778e-06,3.913314859641337862e-06,3.968920663142069782e-06,4.025320000720801264e-06,4.082521335378002300e-06,4.140533190114145217e-06,4.199364147929708914e-06,4.259022851825180552e-06,4.319518004801051322e-06,4.380858369857816445e-06,4.443052769995980254e-06,4.506110088216049414e-06
4.570039267518544789e-06,4.634850258166847767e-06,4.700555959046383052e-06,4.767169961080396610e-06,4.834706039799571200e-06,4.903178157394017897e-06,4.972600464785282161e-06,5.042987303718334800e-06,5.114353208873584244e-06,5.186712909998866103e-06,5.260081334061449796e-06,5.334473607420039400e-06,5.409905058016770406e-06,5.486391217589210845e-06,5.563947823902359174e-06,5.642590823000656707e-06,5.722336371479960365e-06,5.803200838779573179e-06,5.885200809494229187e-06,5.968353085706102194e-06,6.052674689336783334e-06,6.138182864519320602e-06,6.224895079990175525e-06,6.312829031501259594e-06,6.402002644251910698e-06,6.492434075340900190e-06,6.584141716238442646e-06,6.677144195278188812e-06,6.771460380169214468e-06,6.867109380528039923e-06,6.964110550430623396e-06,7.062483490984348604e-06,7.162248052920048076e-06,7.263424339203985098e-06,7.366032707669867142e-06,7.470093773670824708e-06,7.575628412751441134e-06,7.682657763339731719e-06,7.791203229459144167e-06,7.901286483460575271e-06,8.012929468774357238e-06,8.126154402682256019e-06,8.240983779109476557e-06,8.357440371436678341e-06,8.475547235331941972e-06,8.595327711602796861e-06,8.716805429068210103e-06,8.840004307450592431e-06,8.964948560287792461e-06,9.091662697865106322e-06
9.220171530167265396e-06,9.350500170278551939e-06,9.482674054080162323e-06,9.616718980303140811e-06,9.752661123828900862e-06,9.890527041006672658e-06,1.003034367500761362e-05,1.017213836124661546e-05,1.031593883287262947e-05,1.046177322632815540e-05,1.060967008697869866e-05,1.075965837481291411e-05,1.091176747021421571e-05,1.106602717980458223e-05,1.122246774236136861e-05,1.138111983480789232e-05,1.154201457827855010e-05,1.170518354425927826e-05,1.187065876080417310e-05,1.203847271882906605e-05,1.220865837848282413e-05,1.238124917559728053e-05,1.255627902821652715e-05,1.273378234320648372e-05,1.291379402294554166e-05,1.309634947209713623e-05,1.328148460446509761e-05,1.346923584993268202e-05,1.365964016148610283e-05,1.385273502232341215e-05,1.404855845304976955e-05,1.424714901895975363e-05,1.444854583740783786e-05,1.465278858526776418e-05,1.485991750648183765e-05,1.506997341970101289e-05,1.528299772601667347e-05,1.549903241678512588e-05,1.571812008154561607e-05,1.594030391603294439e-05,1.616562773028554611e-05,1.639413595684999827e-05,1.662587365908305728e-05,1.686088653955192517e-05,1.709922094853401857e-05,1.734092389261704330e-05,1.758604304340047572e-05,1.783462674629933184e-05,1.808672402945137603e-05,1.834238461272867069e-05
1.860165891685454419e-05,1.886459807262701738e-05,1.913125393026720127e-05,1.940167906914554597e-05,1.967592680810237473e-05,1.995405121603633449e-05,2.023610712264523105e-05,2.052215012931927937e-05,2.081223662018851718e-05,2.110642377332657080e-05,2.140476957211296855e-05,2.170733281675597026e-05,2.201417313597809491e-05,2.232535099886654527e-05,2.264092772689066396e-05,2.296096550608881995e-05,2.328552739942662259e-05,2.361467735932916035e-05,2.394848024038916147e-05,2.428700181225378711e-05,2.463030877269208982e-05,2.497846876084575644e-05,2.533155037066531730e-05,2.568962316453463049e-05,2.605275768708567756e-05,2.642102547920643183e-05,2.679449909224436430e-05,2.717325210240801285e-05,2.755735912536917979e-05,2.794689583106859681e-05,2.834193895872749345e-05,2.874256633206785088e-05,2.914885687474402418e-05,2.956089062598853186e-05,2.997874875647474677e-05,3.040251358439930744e-05,3.083226859178714313e-05,3.126809844102186050e-05,3.171008899160462593e-05,3.215832731714426745e-05,3.261290172258172023e-05,3.307390176165176662e-05,3.354141825458516418e-05,3.401554330605414999e-05,3.449637032336470252e-05,3.498399403489825825e-05,3.547851050880660963e-05,3.598001717196284434e-05,3.648861282917173401e-05,3.700439768264281160e-05
3.752747335172960014e-05,3.805794289293827919e-05,3.859591082020911627e-05,3.914148312547493906e-05,3.969476729950379053e-05,4.025587235303624309e-05,4.082490883822288095e-05,4.140198887036649066e-05,4.198722614997333740e-05,4.258073598511768760e-05,4.318263531412430770e-05,4.379304272857314042e-05,4.441207849663096277e-05,4.503986458671460673e-05,4.567652469149026899e-05,4.632218425221396491e-05,4.697697048341761258e-05,4.764101239794605962e-05,4.831444083234944360e-05,4.899738847263652411e-05,4.968998988039353320e-05,5.039238151927418212e-05,5.110470178186569653e-05,5.182709101693630782e-05,5.255969155706970305e-05,5.330264774669173241e-05,5.405610597049479528e-05,5.482021468226591540e-05,5.559512443412368226e-05,5.638098790617017761e-05,5.717795993656357245e-05,5.798619755201724237e-05,5.880585999873143884e-05,5.963710877376384567e-05,6.048010765684467855e-05,6.133502274264302282e-05,6.220202247349027090e-05,6.308127767256769311e-05,6.397296157756411845e-05,6.487724987481016984e-05,6.579432073389648709e-05,6.672435484278190084e-05,6.766753544339897076e-05,6.862404836776309493e-05,6.959408207459336266e-05,7.057782768645112748e-05,7.157547902740424186e-05,7.258723266122406900e-05,7.361328793012241367e-05,7.465384699403665285e-05
7.570911487046944922e-05,7.677929947489230415e-05,7.786461166171912982e-05,7.896526526585957142e-05,8.008147714485792056e-05,8.121346722162843459e-05,8.236145852779271353e-05,8.352567724763015260e-05,8.470635276264838222e-05,8.590371769678353461e-05,8.711800796223822456e-05,8.834946280596812701e-05,8.959832485682353478e-05,9.086484017335813427e-05,9.214925829231258858e-05,9.345183227778241489e-05,9.477281877108183824e-05,9.611247804131054721e-05,9.747107403663577904e-05,9.884887443629838076e-05,1.002461507033540814e-04,1.016631781381599362e-04,1.031002359326159586e-04,1.045576072251737571e-04,1.060355791566223695e-04,1.075344429266620537e-04,1.090544938512781799e-04,1.105960314209250485e-04,1.121593593595332820e-04,1.137447856843495171e-04,1.153526227666231449e-04,1.169831873931502064e-04,1.186368008286873069e-04,1.203137888792474200e-04,1.220144819562905787e-04,1.237392151418222335e-04,1.254883282544109460e-04,1.272621659161399601e-04,1.290610776205050787e-04,1.308854178012720858e-04,1.327355459023075524e-04,1.346118264483972147e-04,1.365146291170650983e-04,1.384443288114080241e-04,1.404013057339595111e-04,1.423859454615986596e-04,1.443986390215171341e-04,1.464397829682604832e-04,1.485097794618588649e-04,1.506090363470616799e-04
1.527379672336929715e-04,1.548969915781426903e-04,1.570865347660097065e-04,1.593070281959134025e-04,1.615589093644901632e-04,1.638426219525912703e-04,1.661586159126994132e-04,1.685073475575813795e-04,1.708892796501931355e-04,1.733048814948568643e-04,1.757546290297255494e-04,1.782390049205566233e-04,1.807584986558092373e-04,1.833136066430872705e-04,1.859048323069447198e-04,1.885326861880742334e-04,1.911976860438973562e-04,1.939003569505772201e-04,1.966412314064726005e-04,1.994208494370551033e-04,2.022397587013085923e-04,2.050985145996337322e-04,2.079976803832761891e-04,2.109378272653035318e-04,2.139195345331494560e-04,2.169433896627496984e-04,2.200099884342904581e-04,2.231199350495941794e-04,2.262738422511631345e-04,2.294723314429070161e-04,2.327160328125765212e-04,2.360055854559272692e-04,2.393416375026396375e-04,2.427248462440174763e-04,2.461558782624924803e-04,2.496354095629596146e-04,2.531641257059678287e-04,2.567427219427945162e-04,2.603719033524286319e-04,2.640523849804896788e-04,2.677848919801125707e-04,2.715701597548208124e-04,2.754089341034213928e-04,2.793019713669478432e-04,2.832500385776780803e-04,2.872539136102619426e-04,2.913143853349828716e-04,2.954322537731855032e-04,2.996083302549028336e-04,3.038434375787088201e-04
3.081384101738318670e-04,3.124940942645597201e-04,3.169113480369681302e-04,3.213910418080061400e-04,3.259340581969726318e-04,3.305412922994144958e-04,3.352136518634847443e-04,3.399520574687936946e-04,3.447574427077868312e-04,3.496307543696874562e-04,3.545729526270395820e-04,3.595850112248878748e-04,3.646679176726295600e-04,3.698226734385820914e-04,3.750502941472983517e-04,3.803518097796709622e-04,3.857282648758667411e-04,3.911807187411282783e-04,3.967102456544861072e-04,4.023179350804200675e-04,4.080048918835112778e-04,4.137722365461322591e-04,4.196211053892097962e-04,4.255526507961124153e-04,4.315680414396982564e-04,4.376684625125766299e-04,4.438551159606217455e-04,4.501292207197884880e-04,4.564920129562740399e-04,4.629447463100783166e-04,4.694886921420017545e-04,4.761251397841387311e-04,4.828553967939094404e-04,4.896807892116848693e-04,4.966026618220510062e-04,5.036223784187685536e-04,5.107413220734748722e-04,5.179608954081879515e-04,5.252825208716588095e-04,5.327076410196330929e-04,5.402377187990731579e-04,5.478742378363964712e-04,5.556187027297905014e-04,5.634726393456586380e-04,5.714375951192572026e-04,5.795151393595803641e-04,5.877068635585572503e-04,5.960143817046170949e-04,6.044393306006887699e-04,6.129833701866945535e-04
6.216481838666037272e-04,6.304354788401057407e-04,6.393469864389771063e-04,6.483844624681969889e-04,6.575496875518906407e-04,6.668444674841572748e-04,6.762706335848619587e-04,6.858300430604537604e-04,6.955245793698835478e-04,7.053561525956977699e-04,7.153266998203755469e-04,7.254381855079846406e-04,7.356926018912343657e-04,7.460919693639967831e-04,7.566383368793812856e-04,7.673337823534305546e-04,7.781804130745263596e-04,7.891803661185825026e-04,8.003358087701040570e-04,8.116489389492015849e-04,8.231219856446398081e-04,8.347572093530084437e-04,8.465569025240997705e-04,8.585233900125818340e-04,8.706590295360573835e-04,8.829662121395990756e-04,8.954473626668462685e-04,9.081049402377657561e-04,9.209414387331630713e-04,9.339593872860448617e-04,9.471613507799250386e-04,9.605499303541743372e-04,9.741277639165148768e-04,9.878975266627593611e-04,1.001861931603895096e-03,1.016023730100621900e-03,1.030385712405436490e-03,1.044950708212396715e-03,1.059721587214638907e-03,1.074701259669789532e-03,1.089892676973360040e-03,1.105298832240251324e-03,1.120922760894479042e-03,1.136767541267229504e-03,1.152836295203377333e-03,1.169132188676570488e-03,1.185658432413011021e-03,1.202418282524054085e-03,1.219415041147749222e-03,1.236652057099451229e-03
